NAME,DINING TIME,RATING,REVIEW
OpenTable Diner,"Dined on July 15, 2024",5,Sat at the bar. The Bartender is great. I’ve received his service in the past and he’s always on point with customer service skills. Came for a table and saw the bar was free so I chose to sit at the bar.  I’ve sat at a table here also in the past and received great service from a waiter also who I would’ve requested.
mdcosby,"Dined on July 13, 2024",4,"We had a good dinner here but not amazing. The service was fine, but not special and the same with the food. I would go again if I was doing something in the area but wouldn’t make a special trip. ￼"
OpenTable Diner,"Dined on July 11, 2024",3,"Frequent this restaurant and we generally have a 10/10 experience. Last night the service was horrible - the restaurant was not packed, one waitress was busy watching the soccer game at the bar while the other one was who was supposed to be serving our table was no where to be found. We had to request to put in our order for drinks and food. Everything took an exceptionally long time to make it’s way to the table, while we understand food - there was no reason we had to wait longer than 20 min for a drink when the bar was empty and the restaurant was not busy. Food is always impeccable but overall customer experience was lacking which was a big disappointment as we were out specifically to celebrate a birthday."
OpenTable Diner,"Dined on July 7, 2024",5,"Fantastic restaurant,  great for all occasions. Food 10/10, service 10/10, and ambiance 10/10. It's kind of on the expensive side of things, but I'm willing to pay for excellent experiences!"
OpenTable Diner,"Dined on June 30, 2024",5,Food was great service was great .  Our server Nyla was great
OpenTable Diner,"Dined on June 28, 2024",2,"First and foremost, my drink was absolutely disgusting and to top it off the lamb ordered as well done came out medium rare with blood oozing all over our plates into our sides. The energy and service just sucked. Which is disappointing because i was actually excited to try this place."
OpenTable Diner,"Dined on June 26, 2024",5,"The Brooklyn Chop House (Down Nassau Street location) was an excellent dining experience offering an outstanding food, customer service, and relaxing atmosphere."
OpenTable Diner,"Dined on June 23, 2024",5,The service was amazing quick and food was delicious. Will eat here again
OpenTable Diner,"Dined on June 23, 2024",5,amazing for my 50th! can’t wait to go back SURF&TURF
CoreyS,"Dined on June 22, 2024",1,"Awful Awful experience! I arrived  and was told I needed to take my hat off.  However, when I walked into the restaurant numerous people and all wearing hats. I asked the waitress why other people were allowed and she said oh these are the owners friends. Then we asked her to sit instead of the table in the corner and she said oh you can’t sit there because there’s only two of you. Then when I looked up, there were two with two people in them. I asked again and her response was oh, these are the owners friends.  I walked the front and let them know that I will not be patronizing their business when they are clearly discriminating. I went to the Brooklyn, chophouse downtown wore my hat and had no issues."
OpenTable Diner,"Dined on June 21, 2024",5,10/10 I’ll be making another visit ASAP !! I love it
ShirellB,"Dined on June 19, 2024",5,The environment was very much inviting. My sister and I had gone for lunch and we were pleasantly pleased. Everything was great! Definitely a must!
OpenTable Diner,"Dined on June 17, 2024",4,The food was ok taste wise but was on the expensive side for what we received. Drinks were awesome.
OpenTable Diner,"Dined on June 17, 2024",5,The soft shell crab fried rice and kung pao chicken was delicious. They also have a select few mocktails for those who don’t drink. Good music was played as well
foodDinerYvette,"Dined on June 16, 2024",5,"Their food is always so good and this experience was no different. The food was really good. We got the steak, Crab fried rice and broccoli, for appetizers we had the chicken satay with rock shrimp. Drinks were really good without tasting too strong: white peach sangria frose and coconut mango martini with sour diesel and  Hennessy sangria. Will definitely be back again."
OpenTable Diner,"Dined on June 16, 2024",5,Keyana was great!! The margarita tree was so good. The French onion dumplings are to die for. The shrimp tempura is a MUST! Thank you for making my mom’s birthday dinner so special
katinaw,"Dined on June 16, 2024",5,Atmosphere was at its highest while I celebrated father's day with the love of my life dinner was delicious the service was to ones liking  and the waiter Kabari was so pleasant.  I want to thank the CHOP HOUSE for having us we will be back the expierience was worth every penny
NicoleS,"Dined on June 10, 2024",5,"Had an overall great experience.  Celebrated my spouse’s bday with our 2 kids.  We were seated promptly and our table server was very attentive. The food was tasty, and well presented. Only oppty was that we didn’t realize that certain entrees didn’t come with a basic side of white rice…such as the sweet and sour chicken or salt and pepper shrimp.   Otherwise, all was good and we will go back."
OpenTable Diner,"Dined on June 10, 2024",4,"I recently dined at Brooklyn chophouse, enticed by its promising reputation and inviting ambiance. However, my experience was a mixed bag, leaving me with conflicting impressions.  Upon entering, I was greeted warmly by the staff, setting a positive tone for the evening. The atmosphere was charming, with cozy lighting and tasteful decor, creating an inviting ambiance for a relaxed dining experience.  However, my expectations took a slight dip when the food arrived. While the dishes were decent, they fell short of the culinary excellence I had anticipated. The flavors were satisfactory, but lacked the depth and innovation I had hoped for. Each bite left me craving a bit more excitement and creativity on the plate.  On the bright side, the service was good throughout the meal. The staff was attentive and courteous, ensuring that our needs were met with efficiency and a genuine smile. Their hospitality certainly added a layer of enjoyment to the overall experience.  In summary, Brooklyn chophouse offers a pleasant environment and commendable service, but falls short of delivering the exceptional culinary experience I had anticipated. While the food was satisfactory, it lacked the wow factor that would elevate it to a memorable dining experience."
OpenTable Diner,"Dined on June 9, 2024",5,Always a great time at Brooklyn Chop House. The Bell & Howell chicken is a must.
OpenTable Diner,"Dined on June 6, 2024",4,Server could of been more attentive. Food was amazing and I will come again jus hope to have a better waiter thank you
OpenTable Diner,"Dined on June 5, 2024",3,Not worth the price. Nothing special about the food.
OpenTable Diner,"Dined on June 4, 2024",3,"Food was good, but it is an odd menu.  Wasn’t a bad experience, just not a place I’d go again."
OpenTable Diner,"Dined on June 3, 2024",3,Great spot but I think I have to trying the other one to get the whole Chophouse experience but overall not bad. Just one complaint the bartender sucked because the drinks were watered down an too sweet so the bartender definitely messed up the whole vibe but otherwise great service the food wasn’t the best but it was good
OpenTable Diner,"Dined on June 1, 2024",5,"You can never go wrong @ the chop house, from entry to seating I've been a few time and it was always pleasant & clean.  The food was perfect as to be expected :)"
